,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
25766,123921739,ricardosiqueir_,en,Wed Mar 17 16:57:53 +0000 2010,Santiago,299,335,2457
25768,411918450,Morgb9,en,Mon Nov 14 01:49:26 +0000 2011,,4,859,9
25769,3152994212,AcadieTherapy,en,Mon Apr 13 14:16:09 +0000 2015,,670,1175,1077
25770,367996983,AlexaTheCreator,en,Sun Sep 04 22:32:53 +0000 2011,Eastern Time (US & Canada),791,411,78181
25771,3820810276,flights_delayed,en-gb,Wed Sep 30 03:54:59 +0000 2015,London,202,1664,146
25772,188951302,TIMIACapital,en,Fri Sep 10 00:17:02 +0000 2010,Pacific Time (US & Canada),1615,348,1164
25774,1968458966,Caitydid28,en,Fri Oct 18 08:31:29 +0000 2013,,4,713,15
25776,446506935,EntreprePro,en,Sun Dec 25 20:22:07 +0000 2011,Central Time (US & Canada),271294,254915,47703
25777,366949531,achisyamnur,en,Sat Sep 03 03:27:22 +0000 2011,,31,430,31
25780,2363958504,oil_agent,en,Thu Feb 27 10:17:14 +0000 2014,,1872,1938,5842
25782,440699570,loydgrossman,en,Mon Dec 19 09:31:21 +0000 2011,,4451,1236,3226
25783,245246334,Vericant,en,Mon Jan 31 06:48:32 +0000 2011,Taipei,364,1068,2318
25784,3338988160,wpdevhubweb,en,Sun Jun 21 12:48:58 +0000 2015,,351,724,607
25785,484091835,JustMsMullen,en,Sun Feb 05 18:35:37 +0000 2012,Casablanca,377,1122,7616
25786,306037008,HEISUS_,en,Fri May 27 05:08:30 +0000 2011,Arizona,77,124,257
25787,367510812,betsofbitcoin,en,Sun Sep 04 02:53:00 +0000 2011,Eastern Time (US & Canada),16298,19564,1781
25788,88735607,OregonAFLCIO,en,Mon Nov 09 19:12:39 +0000 2009,Pacific Time (US & Canada),2624,530,3965
25789,255465442,jozarur,en,Mon Feb 21 12:25:59 +0000 2011,,37,195,135
25790,206828593,mgott150,en,Sat Oct 23 20:42:29 +0000 2010,,81,249,609
25791,395689706,WalkinRadio,en,Sat Oct 22 02:41:19 +0000 2011,,189,894,1220
25792,532820134,MarkDiamondLPS,en,Thu Mar 22 04:22:52 +0000 2012,,399,197,521
25793,1373538150,charlyfromspace,en,Tue Apr 23 01:57:04 +0000 2013,Arizona,16,941,18
25796,309823878,CarolynWhite1,en,Thu Jun 02 18:44:13 +0000 2011,,24,206,60
25797,3193595970,im_gour,en,Tue May 12 21:19:54 +0000 2015,,115,2001,6
25800,15997779,jisham,en,Tue Aug 26 15:26:08 +0000 2008,Eastern Time (US & Canada),1497,1278,4016
25801,45912535,Cabin12Victoria,en,Tue Jun 09 19:04:00 +0000 2009,Pacific Time (US & Canada),4451,2301,4390
25802,33371149,JodiOkun,en,Mon Apr 20 01:37:33 +0000 2009,Pacific Time (US & Canada),124321,90769,105038
25803,368589162,LukeHavard,en,Mon Sep 05 22:00:52 +0000 2011,London,8007,8379,7206
25805,39681769,KimberlySarfde,en,Wed May 13 03:52:51 +0000 2009,Eastern Time (US & Canada),9,111,99
25806,34658659,johnperney,en,Thu Apr 23 16:35:34 +0000 2009,Eastern Time (US & Canada),127,290,189
25807,2955547117,joliexxox,en-AU,Fri Jan 02 03:30:53 +0000 2015,,697,1436,4477
25809,273438082,belekgolfturkey,en,Mon Mar 28 14:00:44 +0000 2011,Istanbul,23406,25579,1737
25811,2421516380,DjCtoss,en,Tue Apr 01 04:21:56 +0000 2014,Arizona,44634,48918,349
25813,2492288242,Banele0331,en,Fri Apr 18 14:08:56 +0000 2014,,28,48,12
25814,43117309,wonderstuckcat,en,Thu May 28 14:18:47 +0000 2009,Atlantic Time (Canada),565,592,10987
25817,3145373241,Kyozamiss,en,Tue Apr 07 20:34:24 +0000 2015,Dublin,30679,16444,205
25818,382910487,RNROklahoma,en,Fri Sep 30 22:34:42 +0000 2011,Mountain Time (US & Canada),4118,3624,29677
25819,1091221860,TheGoldenBurch,en,Tue Jan 15 06:39:57 +0000 2013,,9,64,66
25822,21038672,AndreaSchlapia,en,Mon Feb 16 22:47:44 +0000 2009,Eastern Time (US & Canada),1642,2081,4737
25824,45914930,valeryaga,en,Tue Jun 09 19:13:37 +0000 2009,Mountain Time (US & Canada),232,607,435
25825,1360738177,NDrossos,en,Thu Apr 18 01:18:22 +0000 2013,Brisbane,63330,16823,17867
25827,1043357336,lokmanshahrir,en,Fri Dec 28 23:10:10 +0000 2012,Urumqi,643,436,26196
25828,43965658,martin_oneill,en,Mon Jun 01 20:33:14 +0000 2009,London,2892,4108,2315
25829,407766730,Mariawhyte11,en,Tue Nov 08 14:35:31 +0000 2011,,96,261,163
25830,177240541,Elsie8454,en,Wed Aug 11 16:36:29 +0000 2010,Central Time (US & Canada),890,3816,401
25831,728938712,DonWettrick,en,Tue Jul 31 18:20:29 +0000 2012,,28513,21587,15717
25832,3043041554,emma_forwood,en,Thu Feb 26 09:56:00 +0000 2015,,61,56,95
25833,2285983980,jcombs77,en,Sat Jan 11 02:48:42 +0000 2014,,20,350,80
25834,153179305,AgileAlliance,en,Mon Jun 07 22:10:22 +0000 2010,Pacific Time (US & Canada),7631,6651,1655
25836,72713280,ppurew,en,Wed Sep 09 00:23:03 +0000 2009,Beijing,1701,1143,2626
25837,1584709838,RenegadeMystic,en,Thu Jul 11 03:41:47 +0000 2013,Eastern Time (US & Canada),14052,15432,2395
25838,2830124663,TNAfricabook,en,Tue Oct 14 19:03:40 +0000 2014,,632,592,863
25839,1619451272,painfulquantity,en,Thu Jul 25 04:54:00 +0000 2013,,295,1495,1324
25840,293063038,BioSistemika,en,Wed May 04 17:59:12 +0000 2011,Greenland,1551,3541,514
25845,2757524927,paulbuitnki,en,Sun Aug 31 20:40:05 +0000 2014,,16,349,29
25846,1152685934,shelleyyeater,en,Wed Feb 06 02:39:16 +0000 2013,Central Time (US & Canada),912,2077,4623
25847,118215095,SLau78,en,Sat Feb 27 23:41:42 +0000 2010,Central Time (US & Canada),347,583,938
25851,2221695594,powertofly,en,Fri Nov 29 16:16:34 +0000 2013,Eastern Time (US & Canada),8686,6486,6922
25852,2161175642,jrd_sara,en,Mon Oct 28 16:03:02 +0000 2013,,143,162,824
25854,602550624,mirnaelhalabi,en,Fri Jun 08 04:49:45 +0000 2012,,111,286,951
25855,630864805,TFORTE33,en,Mon Jul 09 06:52:04 +0000 2012,Central Time (US & Canada),1212,1760,10203
25857,29151815,ZombieRiot,en,Mon Apr 06 05:40:00 +0000 2009,Quito,210956,143092,5858
25860,58357786,lgazdyszyn,en,Mon Jul 20 02:02:38 +0000 2009,,158,664,577
25861,54062614,MadeMakersNet,en,Mon Jul 06 01:03:59 +0000 2009,London,4960,5009,911
25862,3203719491,tijasander,en,Sat Apr 25 04:59:01 +0000 2015,,9,312,26
25863,2446267944,utMattyMattFFS,en,Wed Apr 16 00:32:46 +0000 2014,,6,862,6
25865,965819917,KISS1025FM,en,Fri Nov 23 09:40:46 +0000 2012,Eastern Time (US & Canada),16038,10441,8216
25866,1567019005,swagganot,en,Thu Jul 04 00:43:25 +0000 2013,,108,729,34
25867,2580412842,Exceptionalword,en,Sat Jun 21 13:09:46 +0000 2014,Pacific Time (US & Canada),71506,47996,994
25869,15579178,raincoaster,en,Thu Jul 24 08:37:54 +0000 2008,Pacific Time (US & Canada),12492,12318,171902
25870,2271458622,Hatredds,en,Wed Jan 01 10:19:13 +0000 2014,Eastern Time (US & Canada),28138,31420,3640
25871,571139397,dowelldogood1,en,Fri May 04 18:43:03 +0000 2012,,215,1772,2763
25874,1315920943,brittsnowduh,en,Sat Mar 30 06:47:53 +0000 2013,Brisbane,1376,921,26945
25875,21096041,FightCrime,en,Tue Feb 17 15:14:21 +0000 2009,Eastern Time (US & Canada),3302,1977,2661
25877,350883724,3evbookmarking,en,Mon Aug 08 13:19:06 +0000 2011,Casablanca,1433,1939,39233
25878,3020369678,Res_Report,en,Sun Feb 15 02:53:00 +0000 2015,Sydney,164,534,395
25879,47270985,faramohs,en,Mon Jun 15 05:49:00 +0000 2009,Casablanca,271,506,200
25881,3290229555,dtrepak1,en,Tue May 19 17:23:36 +0000 2015,,196,2151,136
25882,226416912,tess5sos_,en,Tue Dec 14 03:18:30 +0000 2010,Brisbane,61873,22468,11699
25883,77128292,TimTurnerMusic,en,Fri Sep 25 03:59:49 +0000 2009,,346579,323884,9905
25885,2873301816,DavidKristoph,en,Thu Oct 23 13:12:11 +0000 2014,,73358,75961,1638
25887,46476526,drjoyce_knudsen,en,Thu Jun 11 20:05:28 +0000 2009,Central Time (US & Canada),982714,257164,55975
25888,624237950,Mrs_Fabul0us,en,Mon Jul 02 01:10:40 +0000 2012,Eastern Time (US & Canada),224,411,11416
25889,127906281,aeapp88,en,Tue Mar 30 15:51:57 +0000 2010,Quito,125,254,1996
25891,622754498,BularGulcin,en,Sat Jun 30 11:56:57 +0000 2012,,2972,3508,485
25892,2933958342,LtrainThe,en,Wed Dec 17 21:39:01 +0000 2014,,451,1595,129
