,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
311,22386263,habitatwc,en,Sun Mar 01 18:03:01 +0000 2009,Eastern Time (US & Canada),41141,41749,16048
315,21166399,aricochet,en,Wed Feb 18 03:50:53 +0000 2009,Hawaii,109944,104546,27891
317,26493362,rmindler,en,Wed Mar 25 13:13:17 +0000 2009,Jerusalem,110816,60781,16784
319,141293475,SMediaVerve,en,Fri May 07 18:00:32 +0000 2010,West Central Africa,26041,19996,1746
323,90026845,okfoodbank,en,Sat Nov 14 21:39:19 +0000 2009,Mountain Time (US & Canada),3334,1941,3129
328,436351349,nitpickette01,en,Wed Dec 14 02:48:03 +0000 2011,Atlantic Time (Canada),1731,1517,42605
329,2207844577,SellYourRealty,en,Thu Nov 21 21:16:47 +0000 2013,,4222,6054,826
331,7788062,pranesh,en,Sat Jul 28 17:52:27 +0000 2007,New Delhi,11090,3232,48054
348,311691360,MichaelvanHulst,en,Sun Jun 05 21:56:36 +0000 2011,Amsterdam,412,631,950
361,1842682484,CTL_UK,en,Mon Sep 09 09:16:51 +0000 2013,,601,705,3197
362,18389166,spencerideas,en,Fri Dec 26 13:59:34 +0000 2008,Pacific Time (US & Canada),18271,14183,50312
363,144453011,FightLikeAGirlC,en,Sun May 16 10:00:47 +0000 2010,Eastern Time (US & Canada),5490,4805,9725
364,615626232,MrColdSpaghetti,en,Fri Jun 22 21:32:37 +0000 2012,Lisbon,36,495,3283
369,15784302,JonHutson,en,Fri Aug 08 23:21:36 +0000 2008,Eastern Time (US & Canada),63236,41442,13419
375,142897820,victoriauninews,en,Wed May 12 01:38:52 +0000 2010,Melbourne,10905,895,9603
379,575498130,NaomiSheltonDC,en,Wed May 09 14:51:32 +0000 2012,Eastern Time (US & Canada),1251,1662,11543
389,4069089148,CoolVicsmeat,en,Thu Oct 29 16:44:28 +0000 2015,,393,1377,830
390,40359930,Ambit_NewYork,en,Fri May 15 23:23:31 +0000 2009,Eastern Time (US & Canada),2304,2974,900
395,369077292,GirIfriendSay,en,Tue Sep 06 18:40:05 +0000 2011,Amsterdam,35484,21674,8816
407,2255814462,TaoOfSatoshi,en,Sat Dec 21 01:13:35 +0000 2013,,4113,2911,9875
408,1649707226,Xbox2Day,en,Tue Aug 06 07:08:06 +0000 2013,Arizona,29179,17841,29389
409,246876217,CWA_NJ,en,Thu Feb 03 17:03:38 +0000 2011,Eastern Time (US & Canada),2163,928,2559
