,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
11593,1389406855,Dalmar55555,en,Mon Apr 29 12:28:36 +0000 2013,Pacific Time (US & Canada),16,335,7
11609,53211871,evanstanleyjonz,en,Thu Jul 02 22:38:47 +0000 2009,Hawaii,130,178,33
11642,611817117,DayTraders1,en,Mon Jun 18 14:48:03 +0000 2012,Eastern Time (US & Canada),603738,177560,29880
11648,2826743402,irfannooruddin,en,Mon Sep 22 17:46:56 +0000 2014,,1014,2004,6332
11794,2887201159,notchrisyellen,en,Sun Nov 02 07:38:17 +0000 2014,,494,1033,2279
11898,267919801,mattcooldude,en,Thu Mar 17 20:17:25 +0000 2011,,60,756,381
11908,3603147733,hattrkx,en,Fri Sep 18 08:24:09 +0000 2015,,37,336,55
11939,76506023,nurulfaatihah,en,Wed Sep 23 00:38:11 +0000 2009,Pacific Time (US & Canada),407,357,36639
12221,2535739088,thisisnotsilis,en,Fri May 30 19:38:02 +0000 2014,Eastern Time (US & Canada),25,163,125
12305,198854516,agrokarthi,en,Tue Oct 05 12:32:33 +0000 2010,,76,1007,97
12334,41119450,JG_Ocean,en,Tue May 19 13:55:09 +0000 2009,London,101,390,190
12338,3595147512,JbishopAlice,en,Thu Sep 17 15:23:50 +0000 2015,Pacific Time (US & Canada),51,218,1230
12488,3546710414,MDRAKIB20081991,en,Sun Sep 13 07:25:21 +0000 2015,,37,260,19
12569,751871773,sammie_gonzale2,en,Sat Aug 11 20:38:52 +0000 2012,Central Time (US & Canada),469,250,37764
12575,1226948736,Tweetz4Ewe,en,Thu Feb 28 07:31:39 +0000 2013,Pacific Time (US & Canada),63,795,750
12637,2243407615,ebbrahym,en,Fri Dec 13 05:32:46 +0000 2013,,39,471,283
12689,2617663470,UnhappySisyphus,en,Fri Jul 11 16:55:57 +0000 2014,Pacific Time (US & Canada),44,788,150
12706,344783359,gaturkey1,en,Fri Jul 29 15:44:51 +0000 2011,Cairo,18,41,2324
12823,1108375350,jamil_kohistani,en,Mon Jan 21 07:56:19 +0000 2013,Chennai,39,339,19
12826,554171969,HishamVillan,en,Sun Apr 15 08:01:32 +0000 2012,Chennai,131,303,152
12997,62415418,WELOVEJMAR,en,Mon Aug 03 02:37:31 +0000 2009,,386824,350026,13114
13008,592619674,AsadMkl,en,Mon May 28 10:48:45 +0000 2012,Islamabad,24,105,189
13056,231426361,Lara_Obeidat,en,Tue Dec 28 13:52:25 +0000 2010,,152,123,399
13084,1651079462,KingStars101,en,Tue Aug 06 19:39:35 +0000 2013,,38,476,176
13243,3520218194,lynnm_cw,en,Thu Sep 10 22:48:41 +0000 2015,,56,338,15
13288,2267773146,RECITcollege,en,Sun Dec 29 18:56:01 +0000 2013,Eastern Time (US & Canada),586,451,2878
13310,762292740,thx_a_mill,en,Thu Aug 16 20:44:01 +0000 2012,Atlantic Time (Canada),1747,2000,1784
13389,1161145332,helloEvaaa,en,Fri Feb 08 20:33:51 +0000 2013,Santiago,653,121,14885
13420,313993289,Landon_Kasey,en,Thu Jun 09 14:58:44 +0000 2011,,849,627,2284
13444,44174435,MartinMorfe,en,Tue Jun 02 18:28:48 +0000 2009,Caracas,146,1047,3165
13686,2574570054,rohinikomarappa,en,Wed Jun 18 10:36:01 +0000 2014,,248,2002,762
13717,2426586902,pmassaro49,en,Fri Apr 04 03:31:52 +0000 2014,,154,409,496
13940,3116468368,bryan_alvarez15,en,Wed Mar 25 23:52:00 +0000 2015,,696,1990,653
13992,2165080617,sarasdynasty,en,Sat Nov 02 16:40:53 +0000 2013,,560,415,12787
14003,3482774366,jattshikari315,en,Mon Sep 07 14:47:02 +0000 2015,,81,1059,23
14065,3228410893,charleskam808,en,Wed May 27 16:51:15 +0000 2015,,34,111,88
14073,483903202,royalmiddleton,en,Sun Feb 05 14:27:24 +0000 2012,Eastern Time (US & Canada),239,1101,1681
14077,11664172,42klines,en,Sun Dec 30 18:24:53 +0000 2007,Hawaii,53,1279,335
14143,432774773,AChalopin,en,Fri Dec 09 19:27:05 +0000 2011,Paris,168,509,3248
14250,210751313,henfee,en,Mon Nov 01 08:46:09 +0000 2010,Beijing,92,858,85
14337,123461458,PeterSmalley,en,Tue Mar 16 04:57:22 +0000 2010,Pacific Time (US & Canada),230,751,180
14643,3303466335,zhivkazhee,en,Sat May 30 07:51:22 +0000 2015,Pacific Time (US & Canada),43,217,438
14782,896203087,TitanResearch,en,Sun Oct 21 21:28:58 +0000 2012,Atlantic Time (Canada),1077,856,5247
14786,539769526,Luo_Danni,en,Thu Mar 29 07:48:19 +0000 2012,Pacific Time (US & Canada),13,79,22
14921,3537747441,olive360X2,en,Thu Sep 03 21:08:24 +0000 2015,,11,95,10
15027,2865031674,alex_obrien98,en,Sun Oct 19 13:49:55 +0000 2014,,54,125,26
15167,2951341677,pete_dayton,en,Tue Dec 30 16:14:02 +0000 2014,,51,703,260
15303,31220507,LauraMRd,en,Tue Apr 14 20:43:09 +0000 2009,Central Time (US & Canada),238,490,1375
15318,764245165,Ben_Manville,en,Fri Aug 17 18:49:38 +0000 2012,,110,170,38
15614,1263222630,dancapalooza,en,Wed Mar 13 00:50:03 +0000 2013,,89,168,98
15677,3514757235,IndigoPlexus,en,Tue Sep 01 17:43:08 +0000 2015,,903,97,20
15792,2598696642,akmjamal2001,en,Tue Jul 01 23:25:05 +0000 2014,,152,690,406
15806,603023146,alekp_,en,Fri Jun 08 19:54:57 +0000 2012,Mountain Time (US & Canada),261,236,1493
16159,2192844907,a_manzalini,en,Wed Nov 13 19:56:46 +0000 2013,Belgrade,258,545,257
16181,1090128866,NewAdvice,en,Mon Jan 14 20:51:11 +0000 2013,Casablanca,421,2085,1973
16321,3345949253,MattChewyBacca,en,Thu Jun 25 20:57:02 +0000 2015,,42,234,11
16376,2897242945,BennerRachel,en,Wed Nov 12 05:51:03 +0000 2014,,185,216,730
16473,3446795788,lyonlwk,en,Wed Aug 26 12:08:40 +0000 2015,Pacific Time (US & Canada),66,688,6
16580,3450447503,Frick_DAHL,en,Wed Aug 26 20:25:47 +0000 2015,,117,67,101
16616,27985198,RonaldRoberts,en,Tue Mar 31 22:48:52 +0000 2009,Pacific Time (US & Canada),211,822,1117
16849,3228008678,forevervshley,en,Wed May 27 07:59:33 +0000 2015,,101,592,4308
16851,1428391274,jego0486,en,Tue May 14 17:24:00 +0000 2013,,401,1940,52
