,id_str,created_at,retweet_count,favorite_count,text
123,667930353919635457,Sat Nov 21 04:59:40 +0000 2015,0,0,"RT: @Pr0m04You @pummiraj6 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
124,667913736271728641,Sat Nov 21 03:53:38 +0000 2015,0,1,"RT: @secretoflies @clearlylukeb is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
125,667864861112594433,Sat Nov 21 00:39:25 +0000 2015,0,1,"RT: @629af0132be6451 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
126,667864859019644928,Sat Nov 21 00:39:25 +0000 2015,0,1,"RT: @TheViralship @The_Herod is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
127,667799531388440576,Fri Nov 20 20:19:50 +0000 2015,0,1,"RT: @DogofCourage @POPULAR_MAG is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
128,667799529551347713,Fri Nov 20 20:19:49 +0000 2015,0,1,"RT: @JoseMan99529374 @3JEANNETTE5Eden is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
129,667799527684882433,Fri Nov 20 20:19:49 +0000 2015,0,1,"RT: @everywoman46 @Corky_Coates is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
130,667782946959429632,Fri Nov 20 19:13:56 +0000 2015,0,1,"RT: @judithbruna95 @Avinash10643523 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
131,667782945134931968,Fri Nov 20 19:13:55 +0000 2015,0,1,"RT: @MdShaki00838077 @omoniyi_modupe is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
132,667766564456759296,Fri Nov 20 18:08:50 +0000 2015,0,1,"RT: @teamseshtrey @mhiz_tinuke @RobertBohan is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
133,667750311486853120,Fri Nov 20 17:04:15 +0000 2015,0,2,"RT: @hazie_29008 @GoldenLegionWeb is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
134,667750307842002944,Fri Nov 20 17:04:14 +0000 2015,0,2,"RT: @love_fall24 @Angiekuv327 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
135,667734195452534784,Fri Nov 20 16:00:12 +0000 2015,0,1,"RT: @wiz_mickey @NickHawkinz is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
136,667717519436746757,Fri Nov 20 14:53:56 +0000 2015,0,1,"RT: @Nemo_clifford @ExpertTradesmen is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
137,667701121620643841,Fri Nov 20 13:48:47 +0000 2015,1,1,"RT: @H72L4p87SNJUOch @Joseph9Jada is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
138,667684799721574400,Fri Nov 20 12:43:55 +0000 2015,1,1,"RT: @levithl00 @Dorothy_Pham_ is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
139,667684797678907392,Fri Nov 20 12:43:55 +0000 2015,0,0,"RT: @LMFassOfff @The_Hedgehog__ @samlovaboy is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
